"","number","family","科名","latin","chinese","abbreviation","frequency","shadeindex","shademean","shademedian","shadevar","highlight","shademeancrown","surratemasd","surratemasdirondele","surratemdele","modes"
"1",1,"Arecaceae","棕櫚科","Calamus formosanus","黃藤","cafo",34,2.5,5.27941176470588,4.75,11.9119875222816,8.35,1.61764705882353,0.941176470588235,0.9375,0.96969696969697,"SH"
"2",2,"Hydrangeaceae","八仙花科","Hydrangea viburnoides","青棉花","hyvi",25,3,6.92,7,16.1183333333333,10.5,1.8,0.68,0.777777777777778,0.772727272727273,"AAR"
"3",3,"Vitaceae","葡萄科","Tetrastigma bioritsense","三腳虌草","tebi",42,2.5,8.75,6.75,35.6859756097561,17.8,1.85714285714286,0.547619047619048,0.594594594594595,0.741935483870968,"TT"
"4",4,"Smilacaceae","菝<U+845C>科","Smilax lanceifolia","臺灣土茯苓","smla",29,3.4,7.77586206896552,6.5,21.3676108374384,15.2,1.93103448275862,0.586206896551724,0.615384615384615,0.653846153846154,"TT"
"5",5,"Menispermaceae","防己科","Pericampylus formosanus","蓬萊藤","pefo",15,5.2,11.8666666666667,11.5,37.5880952380952,21.1,2.33333333333333,0.533333333333333,0.727272727272727,0.666666666666667,"TS"
"6",6,"Gesneriaceae","苦苣苔科","Aeschynanthus acuminatus","長果藤","aeac",20,2.5,6.675,6.5,11.8756578947368,10.25,1.925,0.9,0.923076923076923,0.947368421052632,"AAR"
"7",7,"Piperaceae","胡椒科","Piper sintenense","薄葉風藤","pisi",14,2.5,6.57142857142857,4.75,23.1868131868132,11.05,1.78571428571429,0.857142857142857,0.9,0.923076923076923,"AAR"
"8",8,"Rubiaceae","茜草科","Psychotria serpens","拎壁龍","psse",14,2.65,5.5,4.25,11.3076923076923,9.6,1.46428571428571,0.928571428571429,0.909090909090909,0.928571428571429,"AAR"
"9",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
